Gene ID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15
Gene1	30.7976	31.1214	30.7989	30.4735	30.5663	30.5223	30.1967	30.931	29.3765	33.5142	32.8677	32.3493	32.4664	32.1105	32.3215
Gene2	20.4181	20.6709	20.2922	19.1447	20.0056	19.8289	24.5814	26.0596	25.6108	20.3083	20.8386	21.0405	21.8401	21.7285	22.1326
Gene3	28.0574	28.3179	27.9336	26.9885	27.2696	27.0897	27.0051	27.9141	28.1394	31.2697	31.6212	31.0262	28.0978	27.3965	27.4408
Gene4	26.1	26.35	26.7	24.65	24.95	24.2	22.25	22.1	22.85	25.85	27.15	26.55	25	25.35	25.65
Gene5	21.1701	21.1867	20.7956	20.4233	20.1734	19.9815	19.3546	20.5396	20.9155	24.0664	25.2361	24.9094	23.4572	23.5931	23.6535
Gene6	18.4984	18.0901	17.5481	19.8596	20.3915	19.9465	23.977	25.6106	26.0806	21.0901	21.7387	21.684	23.8478	24.2571	24.4041
Gene7	23.6265	23.8808	23.9267	22.755	22.8787	22.8425	21.0128	21.5728	21.8076	24.858	26.22	25.8894	24.522	24.0016	23.9837
Gene8	28.3303	27.8414	27.8763	27.2448	27.3331	26.5399	25.1848	27.392	27.1457	30.004	31.3458	31.2925	30.4126	30.3456	29.8179
Gene9	24.5617	24.8845	24.876	23.7555	24.0184	23.7808	21.4377	22.0882	22.3256	25.0726	25.9047	25.777	25.2034	24.7018	24.6732
Gene10	28.654	28.982	28.6201	27.5235	27.9889	27.1974	26.7377	27.5395	27.4342	29.9169	30.6769	30.4033	29.2448	28.3327	28.6152
